Region;Delegation;Sown Year;Sown Area (khas);Harvested Area (khas);Yield by Delegation (tn/has);Production (kTn);ENSO;Month;PH /HW;Protein;
W BA;PEHUAJO;2004;85;84,15;3,3;277,695;EL NIÑO;Sep;80,8;11,1;
N BA;PERGAMINO;2004;100;100;3,6;360;EL NIÑO;Sep;81,17522023;10,78821758;
SW BA;PIGUE;2004;475;475;2,6;1235;EL NIÑO;Sep;79,47603259;10,3492759;
C BA;SALIQUELLO;2004;135;135;2,5;337,5;EL NIÑO;Sep;79,60560332;10,74928484;
SE BA;TANDIL;2004;510;504,9;4;2019,6;EL NIÑO;Sep;79,5688456;10,56173301;
SE BA;TRES ARROYOS;2004;1075;1064,25;3,2;3405,6;EL NIÑO;Sep;79,57913544;10,6071143;
C BA;25 DE MAYO;2004;50;49,5;3,8;188,1;EL NIÑO;Sep;81,10650502;10,28847444;
S SFE;CASILDA;2004;135;135;3,3;445,5;EL NIÑO;Sep;80,15883996;11,06379942;
C SFE;CDA GOMEZ;2004;180;176,4;2,6;458,64;EL NIÑO;Sep;80,49656438;11,80365205;
N SFE;RAFAELA;2004;180;174,6;2;349,2;EL NIÑO;Sep;80,8;11,6;
N SFE;AVELLANEDA;2004;81;64,8;1,4;90,72;EL NIÑO;Sep;80,56272619;13,52726191;
S SFE;VDO TUERTO;2004;130;128,7;3,8;489,06;EL NIÑO;Sep;81,26666667;10,85555556;
S CBA;LABOULAYE;2004;150;148,5;2,9;430,65;EL NIÑO;Sep;80,17836598;11,11493268;
E CBA;M JUAREZ;2004;265;259,7;3,6;934,92;EL NIÑO;Sep;79,99884237;11,49391018;
S CBA;RIO IV;2004;125;122,5;2,8;343;EL NIÑO;Sep;79,87640957;11,37971358;
N CBA;S FRANCISCO;2004;400;280;1,5;420;EL NIÑO;Sep;80,96459518;10,79206099;
C CBA;VILLA MARIA;2004;330;313,5;2;627;EL NIÑO;Sep;81,76751632;12,08510573;
ER;PARANA;2004;130;130;2,9;377;EL NIÑO;Sep;81,28859791;10,9849135;
ER;ROS DEL TALA;2004;170;166,6;2,9;483,14;EL NIÑO;Sep;81,78678113;10,72433136;
S LP;SANTA ROSA;2004;245;240,1;2;480,2;EL NIÑO;Sep;79,53078555;11,40372845;
N LP;GRAL PICO;2004;100;98;2,4;235,2;EL NIÑO;Sep;79,09927506;11,37720425;
NEA;Chaco North;2004;5;4;0,8;3,2;EL NIÑO;Sep;79,79;13,13;
NEA;Chaco Central/SW;2004;15;12;0,8;9,6;EL NIÑO;Sep;79,79;13,13;
NEA;Chaco East;2004;0;0;0,8;0;EL NIÑO;Sep;79,79;13,13;
NEA;Sgo del Estero SE;2004;165;82,5;0,8;66;EL NIÑO;Sep;79,33;13,9;
NEA;Sgo del Estero NE;2004;70;28;0,6;16,8;EL NIÑO;Sep;79,33;13,9;
NOA;Salta Centro/Sur;2004;142;127,8;1;127,8;EL NIÑO;Sep;83,65;13,2;
C BA;BRAGADO;2004;75;75;4;300;EL NIÑO;Oct;81,02875563;10,66090802;
C BA;BOLIVAR;2004;110;110;3,4;374;EL NIÑO;Oct;81,66008851;10,94053816;
SW BA;B BLANCA;2004;460;450,8;2,3;1036,84;EL NIÑO;Oct;80,7616228;10,04279128;
N BA;JUNIN;2004;100;100;3,6;360;EL NIÑO;Oct;80,87515168;10,48060718;
W BA;LINCOLN;2004;100;100;3,6;360;EL NIÑO;Oct;81,2599434;10,76545704;
W BA;PEHUAJO;2004;85;84,15;3,3;277,695;EL NIÑO;Oct;80,8;11,1;
N BA;PERGAMINO;2004;100;100;3,6;360;EL NIÑO;Oct;81,17522023;10,78821758;
SW BA;PIGUE;2004;475;475;2,6;1235;EL NIÑO;Oct;79,47603259;10,3492759;
C BA;SALIQUELLO;2004;135;135;2,5;337,5;EL NIÑO;Oct;79,60560332;10,74928484;
SE BA;TANDIL;2004;510;504,9;4;2019,6;EL NIÑO;Oct;79,5688456;10,56173301;
SE BA;TRES ARROYOS;2004;1075;1064,25;3,2;3405,6;EL NIÑO;Oct;79,57913544;10,6071143;
C BA;25 DE MAYO;2004;50;49,5;3,8;188,1;EL NIÑO;Oct;81,10650502;10,28847444;
S SFE;CASILDA;2004;135;135;3,3;445,5;EL NIÑO;Oct;80,15883996;11,06379942;
C SFE;CDA GOMEZ;2004;180;176,4;2,6;458,64;EL NIÑO;Oct;80,49656438;11,80365205;
N SFE;RAFAELA;2004;180;174,6;2;349,2;EL NIÑO;Oct;80,8;11,6;
N SFE;AVELLANEDA;2004;81;64,8;1,4;90,72;EL NIÑO;Oct;80,56272619;13,52726191;
S SFE;VDO TUERTO;2004;130;128,7;3,8;489,06;EL NIÑO;Oct;81,26666667;10,85555556;
S CBA;LABOULAYE;2004;150;148,5;2,9;430,65;EL NIÑO;Oct;80,17836598;11,11493268;
E CBA;M JUAREZ;2004;265;259,7;3,6;934,92;EL NIÑO;Oct;79,99884237;11,49391018;
S CBA;RIO IV;2004;125;122,5;2,8;343;EL NIÑO;Oct;79,87640957;11,37971358;
N CBA;S FRANCISCO;2004;400;280;1,5;420;EL NIÑO;Oct;80,96459518;10,79206099;
C CBA;VILLA MARIA;2004;330;313,5;2;627;EL NIÑO;Oct;81,76751632;12,08510573;
ER;PARANA;2004;130;130;2,9;377;EL NIÑO;Oct;81,28859791;10,9849135;
ER;ROS DEL TALA;2004;170;166,6;2,9;483,14;EL NIÑO;Oct;81,78678113;10,72433136;
S LP;SANTA ROSA;2004;245;240,1;2;480,2;EL NIÑO;Oct;79,53078555;11,40372845;
N LP;GRAL PICO;2004;100;98;2,4;235,2;EL NIÑO;Oct;79,09927506;11,37720425;
NEA;Chaco North;2004;5;4;0,8;3,2;EL NIÑO;Oct;79,79;13,13;
NEA;Chaco Central/SW;2004;15;12;0,8;9,6;EL NIÑO;Oct;79,79;13,13;
NEA;Chaco East;2004;0;0;0,8;0;EL NIÑO;Oct;79,79;13,13;
NEA;Sgo del Estero SE;2004;165;82,5;0,8;66;EL NIÑO;Oct;79,33;13,9;
NOA;Salta Centro/Sur;2004;142;127,8;1;127,8;EL NIÑO;Oct;83,65;13,2;
C BA;BRAGADO;2004;75;75;4;300;EL NIÑO;Nov;81,02875563;10,66090802;
C BA;BOLIVAR;2004;110;110;3,4;374;EL NIÑO;Nov;81,66008851;10,94053816;
SW BA;B BLANCA;2004;460;450,8;2,3;1036,84;EL NIÑO;Nov;80,7616228;10,04279128;
N BA;JUNIN;2004;100;100;3,6;360;EL NIÑO;Nov;80,87515168;10,48060718;
W BA;LINCOLN;2004;100;100;3,6;360;EL NIÑO;Nov;81,2599434;10,76545704;
W BA;PEHUAJO;2004;85;84,15;3,3;277,695;EL NIÑO;Nov;80,8;11,1;
N BA;PERGAMINO;2004;100;100;3,6;360;EL NIÑO;Nov;81,17522023;10,78821758;
SW BA;PIGUE;2004;475;475;2,6;1235;EL NIÑO;Nov;79,47603259;10,3492759;
C BA;SALIQUELLO;2004;135;135;2,5;337,5;EL NIÑO;Nov;79,60560332;10,74928484;
SE BA;TANDIL;2004;510;504,9;4;2019,6;EL NIÑO;Nov;79,5688456;10,56173301;
SE BA;TRES ARROYOS;2004;1075;1064,25;3,2;3405,6;EL NIÑO;Nov;79,57913544;10,6071143;
C BA;25 DE MAYO;2004;50;49,5;3,8;188,1;EL NIÑO;Nov;81,10650502;10,28847444;
S SFE;CASILDA;2004;135;135;3,3;445,5;EL NIÑO;Nov;80,15883996;11,06379942;
C SFE;CDA GOMEZ;2004;180;176,4;2,6;458,64;EL NIÑO;Nov;80,49656438;11,80365205;
N SFE;RAFAELA;2004;180;174,6;2;349,2;EL NIÑO;Nov;80,8;11,6;
N SFE;AVELLANEDA;2004;81;64,8;1,4;90,72;EL NIÑO;Nov;80,56272619;13,52726191;
S SFE;VDO TUERTO;2004;130;128,7;3,8;489,06;EL NIÑO;Nov;81,26666667;10,85555556;
S CBA;LABOULAYE;2004;150;148,5;2,9;430,65;EL NIÑO;Nov;80,17836598;11,11493268;
E CBA;M JUAREZ;2004;265;259,7;3,6;934,92;EL NIÑO;Nov;79,99884237;11,49391018;
S CBA;RIO IV;2004;125;122,5;2,8;343;EL NIÑO;Nov;79,87640957;11,37971358;
N CBA;S FRANCISCO;2004;400;280;1,5;420;EL NIÑO;Nov;80,96459518;10,79206099;
C CBA;VILLA MARIA;2004;330;313,5;2;627;EL NIÑO;Nov;81,76751632;12,08510573;
ER;PARANA;2004;130;130;2,9;377;EL NIÑO;Nov;81,28859791;10,9849135;
ER;ROS DEL TALA;2004;170;166,6;2,9;483,14;EL NIÑO;Nov;81,78678113;10,72433136;
S LP;SANTA ROSA;2004;245;240,1;2;480,2;EL NIÑO;Nov;79,53078555;11,40372845;
N LP;GRAL PICO;2004;100;98;2,4;235,2;EL NIÑO;Nov;79,09927506;11,37720425;
NEA;Chaco North;2004;5;4;0,8;3,2;EL NIÑO;Nov;79,79;13,13;
NEA;Chaco Central/SW;2004;15;12;0,8;9,6;EL NIÑO;Nov;79,79;13,13;
NEA;Chaco East;2004;0;0;0,8;0;EL NIÑO;Nov;79,79;13,13;
NEA;Sgo del Estero SE;2004;165;82,5;0,8;66;EL NIÑO;Nov;79,33;13,9;
NOA;Salta Centro/Sur;2004;142;127,8;1;127,8;EL NIÑO;Nov;83,65;13,2;
C BA;BRAGADO;2004;75;75;4;300;EL NIÑO;Dec;81,02875563;10,66090802;
C BA;BOLIVAR;2004;110;110;3,4;374;EL NIÑO;Dec;81,66008851;10,94053816;
SW BA;B BLANCA;2004;460;450,8;2,3;1036,84;EL NIÑO;Dec;80,7616228;10,04279128;
N BA;JUNIN;2004;100;100;3,6;360;EL NIÑO;Dec;80,87515168;10,48060718;
W BA;LINCOLN;2004;100;100;3,6;360;EL NIÑO;Dec;81,2599434;10,76545704;
W BA;PEHUAJO;2004;85;84,15;3,3;277,695;EL NIÑO;Dec;80,8;11,1;
N BA;PERGAMINO;2004;100;100;3,6;360;EL NIÑO;Dec;81,17522023;10,78821758;
SW BA;PIGUE;2004;475;475;2,6;1235;EL NIÑO;Dec;79,47603259;10,3492759;
C BA;SALIQUELLO;2004;135;135;2,5;337,5;EL NIÑO;Dec;79,60560332;10,74928484;
SE BA;TANDIL;2004;510;504,9;4;2019,6;EL NIÑO;Dec;79,5688456;10,56173301;
SE BA;TRES ARROYOS;2004;1075;1064,25;3,2;3405,6;EL NIÑO;Dec;79,57913544;10,6071143;
C BA;25 DE MAYO;2004;50;49,5;3,8;188,1;EL NIÑO;Dec;81,10650502;10,28847444;
S SFE;CASILDA;2004;135;135;3,3;445,5;EL NIÑO;Dec;80,15883996;11,06379942;
C SFE;CDA GOMEZ;2004;180;176,4;2,6;458,64;EL NIÑO;Dec;80,49656438;11,80365205;
N SFE;RAFAELA;2004;180;174,6;2;349,2;EL NIÑO;Dec;80,8;11,6;
N SFE;AVELLANEDA;2004;81;64,8;1,4;90,72;EL NIÑO;Dec;80,56272619;13,52726191;
S SFE;VDO TUERTO;2004;130;128,7;3,8;489,06;EL NIÑO;Dec;81,26666667;10,85555556;
S CBA;LABOULAYE;2004;150;148,5;2,9;430,65;EL NIÑO;Dec;80,17836598;11,11493268;
E CBA;M JUAREZ;2004;265;259,7;3,6;934,92;EL NIÑO;Dec;79,99884237;11,49391018;
S CBA;RIO IV;2004;125;122,5;2,8;343;EL NIÑO;Dec;79,87640957;11,37971358;
N CBA;S FRANCISCO;2004;400;280;1,5;420;EL NIÑO;Dec;80,96459518;10,79206099;
C CBA;VILLA MARIA;2004;330;313,5;2;627;EL NIÑO;Dec;81,76751632;12,08510573;
ER;PARANA;2004;130;130;2,9;377;EL NIÑO;Dec;81,28859791;10,9849135;
ER;ROS DEL TALA;2004;170;166,6;2,9;483,14;EL NIÑO;Dec;81,78678113;10,72433136;
S LP;SANTA ROSA;2004;245;240,1;2;480,2;EL NIÑO;Dec;79,53078555;11,40372845;
N LP;GRAL PICO;2004;100;98;2,4;235,2;EL NIÑO;Dec;79,09927506;11,37720425;
NEA;Chaco North;2004;5;4;0,8;3,2;EL NIÑO;Dec;79,79;13,13;
NEA;Chaco Central/SW;2004;15;12;0,8;9,6;EL NIÑO;Dec;79,79;13,13;
NEA;Chaco East;2004;0;0;0,8;0;EL NIÑO;Dec;79,79;13,13;
NEA;Sgo del Estero SE;2004;165;82,5;0,8;66;EL NIÑO;Dec;79,33;13,9;
NEA;Sgo del Estero NE;2004;70;28;0,6;16,8;EL NIÑO;Dec;79,33;13,9;
NOA;Salta Centro/Sur;2004;142;127,8;1;127,8;EL NIÑO;Dec;83,65;13,2;
C BA;BRAGADO;2005;70;70;4,5;315;LA NIÑA;April;82,82452676;10,25316723;
C BA;BOLIVAR;2005;95;95;3,8;361;LA NIÑA;April;81,84468362;10,733589;
SW BA;B BLANCA;2005;430;408,5;1,1;449,35;LA NIÑA;April;80,97081649;11,23779409;
N BA;JUNIN;2005;85;85;4,2;357;LA NIÑA;April;82,92644843;10,48119294;
W BA;LINCOLN;2005;80;80;4;320;LA NIÑA;April;82,31348437;11,14106447;
W BA;PEHUAJO;2005;70;70;3,5;245;LA NIÑA;April;83,48039574;10,75202255;
N BA;PERGAMINO;2005;90;90;4;360;LA NIÑA;April;81,92127824;10,59667011;
SW BA;PIGUE;2005;405;384,75;1,4;538,65;LA NIÑA;April;80,94568291;11,66790225;
C BA;SALIQUELLO;2005;115;115;1,4;161;LA NIÑA;April;80,66972011;11,47371381;
SE BA;TANDIL;2005;450;450;4,8;2160;LA NIÑA;April;80,53342235;10,26356439;
SE BA;TRES ARROYOS;2005;1000;980;3,3;3234;LA NIÑA;April;80,69581857;11,12827931;
C BA;25 DE MAYO;2005;75;75;4;300;LA NIÑA;April;83,49904057;10,51628845;
S SFE;CASILDA;2005;115;111,55;3,8;423,89;LA NIÑA;April;80,95366527;10,09599247;
C SFE;CDA GOMEZ;2005;165;165;3,5;577,5;LA NIÑA;April;80,12669152;10,92788251;
N SFE;RAFAELA;2005;155;150,35;2,8;420,98;LA NIÑA;April;80,73660686;11,70053738;
N SFE;AVELLANEDA;2005;60;54;1,7;91,8;LA NIÑA;April;81,9953704;10,74252646;
S SFE;VDO TUERTO;2005;120;114;4,1;467,4;LA NIÑA;April;81;10,8;
S CBA;LABOULAYE;2005;85;82,45;2,5;206,125;LA NIÑA;April;81,46728888;11,32796818;
E CBA;M JUAREZ;2005;250;237,5;3,2;760;LA NIÑA;April;80,30618365;11,04594612;
S CBA;RIO IV;2005;40;34;1,7;57,8;LA NIÑA;April;77,42195048;12,85235776;
N CBA;S FRANCISCO;2005;345;327,75;2;655,5;LA NIÑA;April;78,27814442;11,70077223;
C CBA;VILLA MARIA;2005;320;304;2,1;638,4;LA NIÑA;April;78,19921287;11,78560297;
ER;PARANA;2005;105;99,75;3,1;309,225;LA NIÑA;April;82,6592962;9,763321862;
ER;ROS DEL TALA;2005;130;123,5;3,1;382,85;LA NIÑA;April;82,1571469;9,872042707;
S LP;SANTA ROSA;2005;125;112,5;1,3;146,25;LA NIÑA;April;81,24720692;10,77292329;
N LP;GRAL PICO;2005;65;63,7;1,9;121,03;LA NIÑA;April;80,71872706;11,87936777;
NEA;Chaco North;2005;10;9;1,3;11,7;LA NIÑA;April;81,65;11,95;
NEA;Chaco Central/SW;2005;60;57;2;114;LA NIÑA;April;81,65;11,95;
NEA;Chaco East;2005;10;9,5;1,5;14,25;LA NIÑA;April;81,65;11,95;
NEA;Sgo del Estero SE;2005;80;64;1,6;102,4;LA NIÑA;April;80,125;12,7;
NEA;Sgo del Estero NE;2005;50;30;0,6;18;LA NIÑA;April;80,125;12,7;
NOA;Salta Centro/Sur;2005;83;74,7;1;74,7;LA NIÑA;April;80,9;11,4;
C BA;BRAGADO;2005;70;70;4,5;315;LA NIÑA;May;82,82452676;10,25316723;
C BA;BOLIVAR;2005;95;95;3,8;361;LA NIÑA;May;81,84468362;10,733589;
SW BA;B BLANCA;2005;430;408,5;1,1;449,35;LA NIÑA;May;80,97081649;11,23779409;
N BA;JUNIN;2005;85;85;4,2;357;LA NIÑA;May;82,92644843;10,48119294;
W BA;LINCOLN;2005;80;80;4;320;LA NIÑA;May;82,31348437;11,14106447;
W BA;PEHUAJO;2005;70;70;3,5;245;LA NIÑA;May;83,48039574;10,75202255;
N BA;PERGAMINO;2005;90;90;4;360;LA NIÑA;May;81,92127824;10,59667011;
SW BA;PIGUE;2005;405;384,75;1,4;538,65;LA NIÑA;May;80,94568291;11,66790225;
C BA;SALIQUELLO;2005;115;115;1,4;161;LA NIÑA;May;80,66972011;11,47371381;
SE BA;TANDIL;2005;450;450;4,8;2160;LA NIÑA;May;80,53342235;10,26356439;
SE BA;TRES ARROYOS;2005;1000;980;3,3;3234;LA NIÑA;May;80,69581857;11,12827931;
C BA;25 DE MAYO;2005;75;75;4;300;LA NIÑA;May;83,49904057;10,51628845;
S SFE;CASILDA;2005;115;111,55;3,8;423,89;LA NIÑA;May;80,95366527;10,09599247;
C SFE;CDA GOMEZ;2005;165;165;3,5;577,5;LA NIÑA;May;80,12669152;10,92788251;
N SFE;RAFAELA;2005;155;150,35;2,8;420,98;LA NIÑA;May;80,73660686;11,70053738;
N SFE;AVELLANEDA;2005;60;54;1,7;91,8;LA NIÑA;May;81,9953704;10,74252646;
S SFE;VDO TUERTO;2005;120;114;4,1;467,4;LA NIÑA;May;81;10,8;
S CBA;LABOULAYE;2005;85;82,45;2,5;206,125;LA NIÑA;May;81,46728888;11,32796818;
E CBA;M JUAREZ;2005;250;237,5;3,2;760;LA NIÑA;May;80,30618365;11,04594612;
S CBA;RIO IV;2005;40;34;1,7;57,8;LA NIÑA;May;77,42195048;12,85235776;
N CBA;S FRANCISCO;2005;345;327,75;2;655,5;LA NIÑA;May;78,27814442;11,70077223;
C CBA;VILLA MARIA;2005;320;304;2,1;638,4;LA NIÑA;May;78,19921287;11,78560297;
ER;PARANA;2005;105;99,75;3,1;309,225;LA NIÑA;May;82,6592962;9,763321862;
ER;ROS DEL TALA;2005;130;123,5;3,1;382,85;LA NIÑA;May;82,1571469;9,872042707;
S LP;SANTA ROSA;2005;125;112,5;1,3;146,25;LA NIÑA;May;81,24720692;10,77292329;
N LP;GRAL PICO;2005;65;63,7;1,9;121,03;LA NIÑA;May;80,71872706;11,87936777;
NEA;Chaco North;2005;10;9;1,3;11,7;LA NIÑA;May;81,65;11,95;
NEA;Chaco Central/SW;2005;60;57;2;114;LA NIÑA;May;81,65;11,95;
NEA;Chaco East;2005;10;9,5;1,5;14,25;LA NIÑA;May;81,65;11,95;
NEA;Sgo del Estero SE;2005;80;64;1,6;102,4;LA NIÑA;May;80,125;12,7;
NEA;Sgo del Estero NE;2005;50;30;0,6;18;LA NIÑA;May;80,125;12,7;
NOA;Salta Centro/Sur;2005;83;74,7;1;74,7;LA NIÑA;May;80,9;11,4;
C BA;BRAGADO;2005;70;70;4,5;315;LA NIÑA;June;82,82452676;10,25316723;
C BA;BOLIVAR;2005;95;95;3,8;361;LA NIÑA;June;81,84468362;10,733589;
SW BA;B BLANCA;2005;430;408,5;1,1;449,35;LA NIÑA;June;80,97081649;11,23779409;
N BA;JUNIN;2005;85;85;4,2;357;LA NIÑA;June;82,92644843;10,48119294;
W BA;LINCOLN;2005;80;80;4;320;LA NIÑA;June;82,31348437;11,14106447;
W BA;PEHUAJO;2005;70;70;3,5;245;LA NIÑA;June;83,48039574;10,75202255;
N BA;PERGAMINO;2005;90;90;4;360;LA NIÑA;June;81,92127824;10,59667011;
SW BA;PIGUE;2005;405;384,75;1,4;538,65;LA NIÑA;June;80,94568291;11,66790225;
C BA;SALIQUELLO;2005;115;115;1,4;161;LA NIÑA;June;80,66972011;11,47371381;
SE BA;TANDIL;2005;450;450;4,8;2160;LA NIÑA;June;80,53342235;10,26356439;
SE BA;TRES ARROYOS;2005;1000;980;3,3;3234;LA NIÑA;June;80,69581857;11,12827931;
C BA;25 DE MAYO;2005;75;75;4;300;LA NIÑA;June;83,49904057;10,51628845;
S SFE;CASILDA;2005;115;111,55;3,8;423,89;LA NIÑA;June;80,95366527;10,09599247;
C SFE;CDA GOMEZ;2005;165;165;3,5;577,5;LA NIÑA;June;80,12669152;10,92788251;
N SFE;RAFAELA;2005;155;150,35;2,8;420,98;LA NIÑA;June;80,73660686;11,70053738;
N SFE;AVELLANEDA;2005;60;54;1,7;91,8;LA NIÑA;June;81,9953704;10,74252646;
S SFE;VDO TUERTO;2005;120;114;4,1;467,4;LA NIÑA;June;81;10,8;
S CBA;LABOULAYE;2005;85;82,45;2,5;206,125;LA NIÑA;June;81,46728888;11,32796818;
E CBA;M JUAREZ;2005;250;237,5;3,2;760;LA NIÑA;June;80,30618365;11,04594612;
S CBA;RIO IV;2005;40;34;1,7;57,8;LA NIÑA;June;77,42195048;12,85235776;
N CBA;S FRANCISCO;2005;345;327,75;2;655,5;LA NIÑA;June;78,27814442;11,70077223;
C CBA;VILLA MARIA;2005;320;304;2,1;638,4;LA NIÑA;June;78,19921287;11,78560297;
ER;PARANA;2005;105;99,75;3,1;309,225;LA NIÑA;June;82,6592962;9,763321862;
ER;ROS DEL TALA;2005;130;123,5;3,1;382,85;LA NIÑA;June;82,1571469;9,872042707;
S LP;SANTA ROSA;2005;125;112,5;1,3;146,25;LA NIÑA;June;81,24720692;10,77292329;
N LP;GRAL PICO;2005;65;63,7;1,9;121,03;LA NIÑA;June;80,71872706;11,87936777;
NEA;Chaco North;2005;10;9;1,3;11,7;LA NIÑA;June;81,65;11,95;
NEA;Chaco Central/SW;2005;60;57;2;114;LA NIÑA;June;81,65;11,95;
NEA;Chaco East;2005;10;9,5;1,5;14,25;LA NIÑA;June;81,65;11,95;
NEA;Sgo del Estero SE;2005;80;64;1,6;102,4;LA NIÑA;June;80,125;12,7;
NEA;Sgo del Estero NE;2005;50;30;0,6;18;LA NIÑA;June;80,125;12,7;
NOA;Salta Centro/Sur;2005;83;74,7;1;74,7;LA NIÑA;June;80,9;11,4;
C BA;BRAGADO;2005;70;70;4,5;315;LA NIÑA;Jul;82,82452676;10,25316723;
C BA;BOLIVAR;2005;95;95;3,8;361;LA NIÑA;Jul;81,84468362;10,733589;
SW BA;B BLANCA;2005;430;408,5;1,1;449,35;LA NIÑA;Jul;80,97081649;11,23779409;
N BA;JUNIN;2005;85;85;4,2;357;LA NIÑA;Jul;82,92644843;10,48119294;
W BA;LINCOLN;2005;80;80;4;320;LA NIÑA;Jul;82,31348437;11,14106447;
W BA;PEHUAJO;2005;70;70;3,5;245;LA NIÑA;Jul;83,48039574;10,75202255;
N BA;PERGAMINO;2005;90;90;4;360;LA NIÑA;Jul;81,92127824;10,59667011;
SW BA;PIGUE;2005;405;384,75;1,4;538,65;LA NIÑA;Jul;80,94568291;11,66790225;
C BA;SALIQUELLO;2005;115;115;1,4;161;LA NIÑA;Jul;80,66972011;11,47371381;
SE BA;TANDIL;2005;450;450;4,8;2160;LA NIÑA;Jul;80,53342235;10,26356439;
SE BA;TRES ARROYOS;2005;1000;980;3,3;3234;LA NIÑA;Jul;80,69581857;11,12827931;
C BA;25 DE MAYO;2005;75;75;4;300;LA NIÑA;Jul;83,49904057;10,51628845;
S SFE;CASILDA;2005;115;111,55;3,8;423,89;LA NIÑA;Jul;80,95366527;10,09599247;
C SFE;CDA GOMEZ;2005;165;165;3,5;577,5;LA NIÑA;Jul;80,12669152;10,92788251;
N SFE;RAFAELA;2005;155;150,35;2,8;420,98;LA NIÑA;Jul;80,73660686;11,70053738;
N SFE;AVELLANEDA;2005;60;54;1,7;91,8;LA NIÑA;Jul;81,9953704;10,74252646;
S SFE;VDO TUERTO;2005;120;114;4,1;467,4;LA NIÑA;Jul;81;10,8;
S CBA;LABOULAYE;2005;85;82,45;2,5;206,125;LA NIÑA;Jul;81,46728888;11,32796818;
E CBA;M JUAREZ;2005;250;237,5;3,2;760;LA NIÑA;Jul;80,30618365;11,04594612;
S CBA;RIO IV;2005;40;34;1,7;57,8;LA NIÑA;Jul;77,42195048;12,85235776;
N CBA;S FRANCISCO;2005;345;327,75;2;655,5;LA NIÑA;Jul;78,27814442;11,70077223;
C CBA;VILLA MARIA;2005;320;304;2,1;638,4;LA NIÑA;Jul;78,19921287;11,78560297;
ER;PARANA;2005;105;99,75;3,1;309,225;LA NIÑA;Jul;82,6592962;9,763321862;
ER;ROS DEL TALA;2005;130;123,5;3,1;382,85;LA NIÑA;Jul;82,1571469;9,872042707;
S LP;SANTA ROSA;2005;125;112,5;1,3;146,25;LA NIÑA;Jul;81,24720692;10,77292329;
N LP;GRAL PICO;2005;65;63,7;1,9;121,03;LA NIÑA;Jul;80,71872706;11,87936777;
NEA;Chaco North;2005;10;9;1,3;11,7;LA NIÑA;Jul;81,65;11,95;
NEA;Chaco Central/SW;2005;60;57;2;114;LA NIÑA;Jul;81,65;11,95;
NEA;Chaco East;2005;10;9,5;1,5;14,25;LA NIÑA;Jul;81,65;11,95;
NEA;Sgo del Estero SE;2005;80;64;1,6;102,4;LA NIÑA;Jul;80,125;12,7;
NEA;Sgo del Estero NE;2005;50;30;0,6;18;LA NIÑA;Jul;80,125;12,7;
NOA;Salta Centro/Sur;2005;83;74,7;1;74,7;LA NIÑA;Jul;80,9;11,4;
C BA;BRAGADO;2005;70;70;4,5;315;LA NIÑA;Aug;82,82452676;10,25316723;
C BA;BOLIVAR;2005;95;95;3,8;361;LA NIÑA;Aug;81,84468362;10,733589;
SW BA;B BLANCA;2005;430;408,5;1,1;449,35;LA NIÑA;Aug;80,97081649;11,23779409;
N BA;JUNIN;2005;85;85;4,2;357;LA NIÑA;Aug;82,92644843;10,48119294;
W BA;LINCOLN;2005;80;80;4;320;LA NIÑA;Aug;82,31348437;11,14106447;
W BA;PEHUAJO;2005;70;70;3,5;245;LA NIÑA;Aug;83,48039574;10,75202255;
N BA;PERGAMINO;2005;90;90;4;360;LA NIÑA;Aug;81,92127824;10,59667011;
SW BA;PIGUE;2005;405;384,75;1,4;538,65;LA NIÑA;Aug;80,94568291;11,66790225;
C BA;SALIQUELLO;2005;115;115;1,4;161;LA NIÑA;Aug;80,66972011;11,47371381;
SE BA;TANDIL;2005;450;450;4,8;2160;LA NIÑA;Aug;80,53342235;10,26356439;
SE BA;TRES ARROYOS;2005;1000;980;3,3;3234;LA NIÑA;Aug;80,69581857;11,12827931;
C BA;25 DE MAYO;2005;75;75;4;300;LA NIÑA;Aug;83,49904057;10,51628845;
S SFE;CASILDA;2005;115;111,55;3,8;423,89;LA NIÑA;Aug;80,95366527;10,09599247;
C SFE;CDA GOMEZ;2005;165;165;3,5;577,5;LA NIÑA;Aug;80,12669152;10,92788251;
N SFE;RAFAELA;2005;155;150,35;2,8;420,98;LA NIÑA;Aug;80,73660686;11,70053738;
N SFE;AVELLANEDA;2005;60;54;1,7;91,8;LA NIÑA;Aug;81,9953704;10,74252646;
S SFE;VDO TUERTO;2005;120;114;4,1;467,4;LA NIÑA;Aug;81;10,8;
S CBA;LABOULAYE;2005;85;82,45;2,5;206,125;LA NIÑA;Aug;81,46728888;11,32796818;
E CBA;M JUAREZ;2005;250;237,5;3,2;760;LA NIÑA;Aug;80,30618365;11,04594612;
S CBA;RIO IV;2005;40;34;1,7;57,8;LA NIÑA;Aug;77,42195048;12,85235776;
N CBA;S FRANCISCO;2005;345;327,75;2;655,5;LA NIÑA;Aug;78,27814442;11,70077223;
C CBA;VILLA MARIA;2005;320;304;2,1;638,4;LA NIÑA;Aug;78,19921287;11,78560297;
ER;PARANA;2005;105;99,75;3,1;309,225;LA NIÑA;Aug;82,6592962;9,763321862;
ER;ROS DEL TALA;2005;130;123,5;3,1;382,85;LA NIÑA;Aug;82,1571469;9,872042707;
S LP;SANTA ROSA;2005;125;112,5;1,3;146,25;LA NIÑA;Aug;81,24720692;10,77292329;
